GeneID,IU_2.5preg_n1,IU_2.5preg_n2,IU_2.5preg_n3,IA_2.5preg_n1,IA_2.5preg_n2,IA_2.5preg_n3
Gm21596,65.0,84.0,45.0,117.0,126.0,143.0
Prkag1,1418.0,1565.0,1341.0,1625.0,2248.0,2444.0
Rspry1,1736.0,2325.0,1702.0,1910.0,2431.0,2576.0
Muc20,197.0,205.0,177.0,476.0,672.0,537.0
Kcnn4,1456.0,1820.0,1353.0,1635.0,2395.0,2545.0
Tmed7,7857.0,9123.0,7561.0,7144.0,10067.0,10478.0
Pomp,2356.0,2853.0,2695.0,2549.0,3435.0,4147.0
Gatd3a,759.0,1228.0,841.0,820.0,1345.0,1400.0
Sh3pxd2b,7635.0,11051.0,7864.0,8391.0,12650.0,13831.0
B3gnt5,4751.0,4646.0,4361.0,14.0,4.0,6.0
Dnajc3,17077.0,16926.0,16680.0,18510.0,24389.0,30302.0
Kif21b,460.0,765.0,495.0,540.0,431.0,476.0
Rab11fip5,3905.0,6018.0,3755.0,6246.0,9304.0,9913.0
Zfp963,311.0,485.0,367.0,434.0,594.0,571.0
Supv3l1,810.0,1003.0,712.0,827.0,1112.0,1183.0
Gm14137,141.0,196.0,150.0,98.0,86.0,102.0
Zfp780b,780.0,1161.0,923.0,742.0,1183.0,1002.0
Dcaf12,3650.0,5625.0,3539.0,4172.0,5832.0,6390.0
Gm5122,38.0,24.0,24.0,28.0,32.0,31.0
Slc18a2,115.0,167.0,102.0,138.0,141.0,173.0
Magt1,5680.0,5749.0,5164.0,4718.0,6602.0,7396.0
Atg2a,2764.0,4528.0,3179.0,2657.0,4032.0,4373.0
Ptpn9,2420.0,3917.0,2278.0,2346.0,3183.0,3380.0
Slc6a14,13591.0,11725.0,11178.0,32.0,37.0,56.0
Acyp1,794.0,898.0,888.0,825.0,1000.0,1225.0
Dennd4c,3474.0,4847.0,3259.0,3923.0,5368.0,6176.0
Prr3,1148.0,1556.0,1346.0,1295.0,1754.0,1788.0
Lama4,2878.0,7403.0,2557.0,1447.0,2249.0,2787.0
Zbtb11,1493.0,1866.0,1486.0,2112.0,2852.0,2960.0
Pthlh,23.0,56.0,16.0,27.0,26.0,38.0
Fbxl9,143.0,224.0,161.0,199.0,217.0,241.0
Chrm4,31.0,59.0,28.0,39.0,24.0,53.0
Zbtb40,794.0,1248.0,861.0,1167.0,1533.0,1815.0
Ssna1,1406.0,1654.0,1522.0,1250.0,1766.0,1776.0
Zfyve16,2267.0,2882.0,2394.0,3246.0,4555.0,5214.0
Ctsd,260066.0,301585.0,260236.0,27776.0,38508.0,40112.0
Trem1,0.0,0.0,2.0,1.0,0.0,1.0
Tceal8,2300.0,3065.0,2391.0,2036.0,3028.0,3010.0
4930473A02Rik,28.0,58.0,43.0,46.0,66.0,52.0
Lrig1,14003.0,17936.0,12050.0,13166.0,18410.0,18306.0
Gpat4,3809.0,5020.0,3599.0,2974.0,4267.0,4714.0
Paip1,3200.0,4354.0,3277.0,3483.0,4749.0,5251.0
Spag7,2179.0,3005.0,2341.0,2585.0,3647.0,3656.0
Ormdl2,1012.0,851.0,992.0,1171.0,1373.0,1621.0
Npy2r,1548.0,1365.0,975.0,288.0,378.0,345.0
Ppa2,1247.0,1770.0,1259.0,1705.0,2433.0,2645.0
Cox6b1,4017.0,5447.0,4110.0,3782.0,4942.0,5403.0
Uvrag,1496.0,2409.0,1449.0,1938.0,2959.0,3206.0
Alg12,1214.0,1319.0,1162.0,1200.0,1483.0,1730.0
Bcan,6.0,4.0,2.0,0.0,7.0,15.0
Hivep1,3536.0,4842.0,3297.0,4452.0,6627.0,6805.0
S100a9,15.0,7.0,5.0,0.0,6.0,2.0
Cebpd,1277.0,2291.0,1330.0,952.0,1497.0,1663.0
Med23,1918.0,3006.0,2093.0,2369.0,3145.0,3447.0
Tasor2,2686.0,3288.0,2559.0,2743.0,3501.0,3550.0
Isg15,415.0,606.0,395.0,86.0,140.0,216.0
Gm15483,7.0,6.0,4.0,8.0,9.0,5.0
Parl,1043.0,1485.0,1260.0,1621.0,1882.0,2222.0
Fus,6428.0,10241.0,7354.0,9086.0,14653.0,12048.0
Dennd5b,1744.0,2059.0,1475.0,1584.0,2015.0,2085.0
Bclaf3,579.0,827.0,630.0,802.0,1006.0,1095.0
S100a13,281.0,384.0,274.0,307.0,488.0,530.0
Pebp1,10479.0,12811.0,11205.0,11550.0,16089.0,18675.0
Ppp6r3,9585.0,12009.0,9685.0,6548.0,8804.0,9344.0
Tnip3,22.0,17.0,22.0,8.0,14.0,16.0
Mir5103,3.0,10.0,6.0,11.0,9.0,8.0
Glyr1,20859.0,22922.0,23549.0,8961.0,12655.0,13246.0
Map1s,5474.0,6584.0,5766.0,2231.0,3095.0,3178.0
Zfp953,545.0,580.0,496.0,623.0,694.0,850.0
Mchr1,290.0,513.0,288.0,227.0,350.0,373.0
Atg4a,759.0,1059.0,745.0,785.0,1106.0,1170.0
Atp10b,5558.0,5952.0,4725.0,5524.0,6364.0,7579.0
Kcne1,12.0,31.0,17.0,56.0,55.0,72.0
Zfp593,195.0,217.0,210.0,169.0,272.0,305.0
Oser1,755.0,1007.0,716.0,830.0,1097.0,1257.0
Gm15464,9.0,14.0,14.0,7.0,18.0,12.0
Slco4c1,1022.0,1124.0,843.0,234.0,262.0,242.0
Ivl,7.0,4.0,10.0,10.0,10.0,4.0
Med20,1346.0,1900.0,1536.0,1415.0,1955.0,2117.0
Osgin2,1628.0,1990.0,1620.0,2775.0,3264.0,3274.0
Pold4,331.0,418.0,279.0,468.0,592.0,615.0
Sprr1a,6.0,8.0,4.0,4.0,10.0,0.0
Dnajb1,2965.0,4032.0,3052.0,6624.0,8764.0,10292.0
2610206C17Rik,151.0,161.0,116.0,160.0,219.0,230.0
Copg2,3631.0,5008.0,3679.0,4355.0,6743.0,6863.0
Mrps35,1003.0,1159.0,819.0,1112.0,1359.0,1471.0
0610031O16Rik,4.0,1.0,2.0,0.0,2.0,2.0
Dnajc19-ps,63.0,115.0,81.0,79.0,108.0,94.0
Lin37,694.0,871.0,643.0,644.0,883.0,944.0
Paqr6,309.0,441.0,347.0,361.0,599.0,616.0
Srprb,3018.0,3968.0,3032.0,2787.0,3851.0,4110.0
Pnck,757.0,1515.0,847.0,680.0,924.0,890.0
Arhgef18,3100.0,4526.0,2941.0,3240.0,4603.0,5057.0
Rps23rg1,250.0,255.0,229.0,392.0,476.0,495.0
Gm10724,22.0,24.0,6.0,38.0,38.0,43.0
C2cd4d,143.0,255.0,231.0,166.0,218.0,254.0
Zmat5,674.0,1005.0,792.0,810.0,1114.0,1162.0
Per2,1413.0,1902.0,1248.0,3708.0,3075.0,3381.0
Esm1,44.0,96.0,43.0,16.0,28.0,21.0
Creld2,7949.0,6339.0,7846.0,6586.0,7797.0,10950.0
Prss29,30.0,35.0,16.0,54.0,63.0,77.0
Myl12a,2544.0,3908.0,2647.0,3002.0,4131.0,4800.0
Syvn1,9359.0,10554.0,8420.0,5864.0,6232.0,6986.0
Acy3,548.0,824.0,552.0,579.0,774.0,802.0
Yjefn3,95.0,115.0,92.0,120.0,147.0,160.0
Glmp,4563.0,6281.0,4777.0,4070.0,5750.0,5865.0
Gm10257,196.0,277.0,194.0,278.0,272.0,275.0
Cd47,2227.0,3128.0,2176.0,2375.0,3198.0,3561.0
Sp2,992.0,1680.0,946.0,1097.0,1586.0,1504.0
Nppc,58.0,62.0,107.0,26.0,90.0,68.0
Lsr,2405.0,2874.0,2439.0,2507.0,3403.0,3954.0
Idh3b,5105.0,7570.0,5692.0,6798.0,8733.0,9521.0
Lman1,6782.0,8155.0,6628.0,6654.0,9612.0,10139.0
Adgrb3,0.0,3.0,0.0,4.0,9.0,0.0
