GeneID,IU_1.5preg_n1,IU_1.5preg_n2,IU_1.5preg_n3,IA_1.5preg_n1,IA_1.5preg_n2,IA_1.5preg_n3
Gm21596,81.0,106.0,42.0,98.0,94.0,137.0
Prkag1,1437.0,1522.0,1333.0,1611.0,1209.0,2037.0
Rspry1,2174.0,1860.0,1522.0,1947.0,1272.0,2140.0
Muc20,1035.0,361.0,372.0,523.0,546.0,615.0
Kcnn4,2335.0,1572.0,2048.0,1728.0,1399.0,1899.0
Tmed7,9265.0,8451.0,7965.0,7340.0,5482.0,8254.0
Pomp,3150.0,2939.0,2757.0,2517.0,2206.0,2949.0
Gatd3a,1225.0,1071.0,998.0,1036.0,775.0,1248.0
Sh3pxd2b,15047.0,9788.0,9459.0,11747.0,7448.0,10651.0
B3gnt5,525.0,3051.0,1161.0,20.0,0.0,27.0
Dnajc3,18608.0,18893.0,18079.0,19241.0,15685.0,20495.0
Kif21b,906.0,722.0,539.0,565.0,293.0,570.0
Rab11fip5,7192.0,4989.0,5018.0,8813.0,5454.0,9392.0
Zfp963,397.0,308.0,339.0,423.0,310.0,388.0
Supv3l1,1118.0,848.0,733.0,850.0,691.0,872.0
Gm14137,135.0,156.0,77.0,94.0,60.0,75.0
Zfp780b,1045.0,944.0,691.0,974.0,597.0,903.0
Dcaf12,4998.0,4389.0,3826.0,4702.0,3528.0,5002.0
Gm5122,27.0,18.0,38.0,30.0,18.0,31.0
Slc18a2,100.0,95.0,79.0,112.0,92.0,147.0
Magt1,6353.0,6086.0,5293.0,4993.0,3881.0,5371.0
Atg2a,4123.0,3562.0,2763.0,3859.0,2268.0,3917.0
Ptpn9,3730.0,3279.0,2835.0,2728.0,1867.0,2550.0
Slc6a14,1530.0,10011.0,5068.0,14.0,47.0,54.0
Acyp1,850.0,850.0,771.0,718.0,603.0,810.0
Dennd4c,5116.0,4076.0,3719.0,5060.0,3522.0,5195.0
Prr3,1356.0,1217.0,988.0,1262.0,806.0,1227.0
Lama4,8691.0,5648.0,4743.0,3014.0,1647.0,2851.0
Zbtb11,1806.0,1637.0,1315.0,2150.0,1378.0,2218.0
Pthlh,72.0,33.0,33.0,173.0,68.0,68.0
Fbxl9,222.0,242.0,214.0,231.0,148.0,307.0
Chrm4,116.0,88.0,38.0,24.0,28.0,55.0
Zbtb40,1194.0,980.0,717.0,1600.0,961.0,1420.0
Ssna1,1383.0,1368.0,1162.0,1050.0,901.0,1191.0
Zfyve16,2246.0,2385.0,1681.0,3822.0,2814.0,4152.0
Ctsd,74454.0,226484.0,129103.0,31730.0,23992.0,39059.0
Trem1,18.0,3.0,10.0,1.0,0.0,0.0
Tceal8,2984.0,2657.0,2641.0,2120.0,1536.0,2492.0
4930473A02Rik,33.0,32.0,28.0,41.0,24.0,30.0
Lrig1,19308.0,15906.0,18420.0,14612.0,10487.0,16547.0
Gpat4,5421.0,4653.0,3998.0,3251.0,2396.0,3296.0
Paip1,4511.0,3711.0,3246.0,3671.0,2600.0,3861.0
Spag7,2962.0,2905.0,2496.0,2553.0,2059.0,3254.0
Ormdl2,919.0,879.0,887.0,919.0,716.0,1167.0
Npy2r,346.0,2066.0,673.0,314.0,235.0,251.0
Ppa2,1918.0,1647.0,1467.0,1724.0,1462.0,1923.0
Cox6b1,5357.0,4728.0,4417.0,3614.0,2797.0,4198.0
Uvrag,2421.0,2041.0,1826.0,2526.0,1879.0,2701.0
Alg12,1585.0,1336.0,1190.0,1155.0,826.0,1242.0
Bcan,40.0,17.0,15.0,9.0,4.0,10.0
Hivep1,5956.0,4466.0,4046.0,6037.0,4193.0,6180.0
S100a9,159.0,66.0,31.0,6.0,0.0,0.0
Cebpd,1256.0,1482.0,944.0,1347.0,1066.0,1321.0
Med23,2684.0,2436.0,2088.0,2676.0,1829.0,2834.0
Tasor2,3594.0,2864.0,2285.0,3212.0,2076.0,2838.0
Isg15,685.0,692.0,542.0,185.0,88.0,127.0
Gm15483,10.0,6.0,8.0,5.0,0.0,4.0
Parl,1577.0,1296.0,1348.0,1324.0,1083.0,1712.0
Fus,10269.0,10237.0,8072.0,11996.0,8820.0,12576.0
Dennd5b,1851.0,1811.0,1325.0,2179.0,1243.0,1830.0
Bclaf3,838.0,671.0,558.0,837.0,508.0,845.0
S100a13,398.0,367.0,331.0,458.0,245.0,449.0
Pebp1,13192.0,12112.0,11835.0,11897.0,9345.0,13537.0
Ppp6r3,10045.0,10512.0,7723.0,7927.0,5462.0,8292.0
Tnip3,48.0,12.0,23.0,18.0,8.0,14.0
Mir5103,5.0,10.0,5.0,8.0,6.0,11.0
Glyr1,10186.0,15090.0,8778.0,9148.0,7500.0,10486.0
Map1s,3312.0,5140.0,2931.0,2583.0,1904.0,2632.0
Zfp953,493.0,570.0,415.0,524.0,386.0,545.0
Mchr1,261.0,254.0,232.0,202.0,170.0,262.0
Atg4a,856.0,934.0,708.0,802.0,661.0,854.0
Atp10b,8593.0,7214.0,5921.0,5883.0,4302.0,6567.0
Kcne1,144.0,65.0,56.0,49.0,36.0,54.0
Zfp593,267.0,256.0,216.0,172.0,160.0,205.0
Oser1,828.0,853.0,679.0,827.0,625.0,924.0
Gm15464,10.0,13.0,11.0,7.0,8.0,3.0
Slco4c1,755.0,1319.0,1083.0,242.0,182.0,205.0
Ivl,20.0,12.0,4.0,13.0,10.0,6.0
Med20,1730.0,1394.0,1254.0,1509.0,1151.0,1615.0
Osgin2,1579.0,1707.0,1459.0,2434.0,1720.0,2741.0
Pold4,465.0,394.0,359.0,499.0,287.0,542.0
Sprr1a,59.0,14.0,14.0,6.0,4.0,14.0
Dnajb1,3681.0,2974.0,2951.0,4310.0,3079.0,3749.0
2610206C17Rik,130.0,156.0,127.0,186.0,125.0,185.0
Copg2,4820.0,4541.0,4232.0,4832.0,3800.0,6043.0
Mrps35,1412.0,1069.0,1067.0,1026.0,655.0,1257.0
0610031O16Rik,4.0,0.0,4.0,6.0,0.0,1.0
Dnajc19-ps,75.0,67.0,59.0,75.0,35.0,87.0
Lin37,858.0,712.0,680.0,754.0,488.0,842.0
Paqr6,621.0,479.0,488.0,544.0,305.0,498.0
Srprb,4167.0,3685.0,3194.0,2724.0,1966.0,2573.0
Pnck,2012.0,1408.0,1439.0,976.0,592.0,742.0
Arhgef18,4740.0,3786.0,3346.0,4182.0,2871.0,4036.0
Rps23rg1,296.0,232.0,252.0,375.0,288.0,516.0
Gm10724,18.0,19.0,18.0,21.0,8.0,26.0
C2cd4d,195.0,209.0,160.0,245.0,182.0,157.0
Zmat5,955.0,852.0,765.0,844.0,641.0,907.0
Per2,1974.0,1127.0,809.0,4469.0,1985.0,2419.0
Esm1,419.0,137.0,53.0,56.0,7.0,46.0
Creld2,9685.0,9867.0,10013.0,5772.0,5617.0,6757.0
Prss29,182.0,47.0,358.0,273.0,52.0,231.0
Myl12a,3493.0,3125.0,2899.0,3921.0,2938.0,4140.0
Syvn1,10906.0,7354.0,6077.0,5348.0,2827.0,3952.0
Acy3,725.0,665.0,605.0,645.0,440.0,859.0
Yjefn3,118.0,109.0,79.0,114.0,106.0,83.0
Glmp,5915.0,5252.0,4934.0,5146.0,3316.0,5639.0
Gm10257,279.0,231.0,199.0,219.0,198.0,242.0
Cd47,3531.0,2773.0,2399.0,3125.0,1993.0,2967.0
Sp2,1589.0,1422.0,1050.0,1243.0,984.0,1311.0
Nppc,46.0,32.0,33.0,38.0,25.0,19.0
Lsr,2343.0,2463.0,2005.0,2479.0,1894.0,2963.0
Idh3b,8063.0,6704.0,6063.0,6902.0,4931.0,8012.0
Lman1,8015.0,7491.0,6794.0,7332.0,5327.0,7643.0
Adgrb3,7.0,2.0,6.0,8.0,0.0,1.0
Hprt,2124.0,1843.0,1952.0,2404.0,2093.0,2936.0
Tmem150a,1064.0,799.0,688.0,711.0,555.0,687.0
4930520O04Rik,127.0,106.0,81.0,98.0,46.0,100.0
Snapc1,1535.0,1160.0,1130.0,1100.0,726.0,1104.0
Ube2r2,8627.0,7209.0,6279.0,6579.0,4394.0,6831.0
Grcc10,5056.0,4313.0,3880.0,3948.0,3067.0,4522.0
Pccb,6043.0,5820.0,5608.0,5426.0,3856.0,6523.0
Igfbp6,16773.0,14149.0,15386.0,6570.0,2556.0,5157.0
