GeneID,IU_0.5preg_n1,IU_0.5preg_n2,IU_0.5preg_n3,IA_0.5preg_n1,IA_0.5preg_n2,IA_0.5preg_n3
Gm21596,79.0,60.0,52.0,53.0,95.0,86.0
Prkag1,894.0,1007.0,753.0,918.0,1235.0,1113.0
Rspry1,946.0,802.0,788.0,843.0,931.0,961.0
Muc20,1991.0,1282.0,1310.0,278.0,241.0,259.0
Kcnn4,931.0,1310.0,1134.0,1226.0,1498.0,1812.0
Tmed7,4646.0,4897.0,4139.0,4492.0,4156.0,4778.0
Pomp,1278.0,1545.0,1281.0,1516.0,1848.0,1826.0
Gatd3a,562.0,592.0,501.0,513.0,627.0,517.0
Sh3pxd2b,7598.0,9594.0,7407.0,10906.0,11620.0,13028.0
B3gnt5,56.0,46.0,27.0,13.0,12.0,9.0
Dnajc3,11537.0,11465.0,10812.0,19751.0,13249.0,17434.0
Kif21b,305.0,342.0,235.0,153.0,340.0,239.0
Rab11fip5,4230.0,5233.0,4182.0,3936.0,4928.0,4822.0
Zfp963,194.0,195.0,161.0,176.0,199.0,184.0
Supv3l1,350.0,442.0,315.0,399.0,450.0,470.0
Gm14137,409.0,299.0,194.0,45.0,43.0,38.0
Zfp780b,422.0,422.0,387.0,327.0,453.0,409.0
Dcaf12,2882.0,2637.0,2285.0,2168.0,2663.0,2578.0
Gm5122,3.0,2.0,7.0,2.0,8.0,2.0
Slc18a2,50.0,65.0,41.0,69.0,64.0,72.0
Magt1,3764.0,3843.0,3442.0,4500.0,3715.0,4356.0
Atg2a,2254.0,2254.0,1797.0,1500.0,2196.0,1857.0
Ptpn9,1680.0,1784.0,1418.0,1329.0,1596.0,1604.0
Slc6a14,991.0,682.0,576.0,25.0,23.0,14.0
Acyp1,240.0,274.0,230.0,330.0,395.0,327.0
Dennd4c,2770.0,2595.0,2094.0,2370.0,2965.0,2972.0
Prr3,438.0,573.0,437.0,477.0,714.0,641.0
Lama4,2676.0,2410.0,1746.0,712.0,1756.0,1173.0
Zbtb11,926.0,868.0,856.0,876.0,899.0,855.0
Pthlh,138.0,100.0,120.0,64.0,32.0,37.0
Fbxl9,70.0,112.0,104.0,73.0,156.0,93.0
Chrm4,6.0,6.0,6.0,12.0,7.0,8.0
Zbtb40,642.0,568.0,403.0,567.0,786.0,713.0
Ssna1,558.0,639.0,633.0,595.0,724.0,728.0
Zfyve16,1158.0,1092.0,886.0,1683.0,2087.0,1746.0
Ctsd,21135.0,20040.0,17663.0,13760.0,19110.0,16174.0
Trem1,14.0,22.0,18.0,8.0,2.0,2.0
Tceal8,1171.0,1388.0,1088.0,1299.0,1509.0,1596.0
4930473A02Rik,14.0,9.0,17.0,16.0,30.0,21.0
Lrig1,4964.0,6682.0,5306.0,5793.0,7200.0,6480.0
