Ddx56	Q9D0R4
Ddx59	Q9DBN9
Ddx5	Q61656
Ddx6	P54823
Deaf1	Q9Z1T5
Decr2	Q9WV68
Decr1	Q9CQ62
Dedd2	Q8QZV0
Dedd	Q9Z1L3
Defa1	P11477
Defa2	P28309
Defa3	P28310
Defa4	P28311
Defa5	P28312
Defa6	P50704
Defa7	P50705
Defa8	P50706
Defa9	P50707
Defb1	P56386
Defb2	P82020
Defb3	Q9WTL0
Defb4	P82019
Defb5	Q9EPV9
Defb6	Q91VD6
Defb7	Q91V70
Defb8	Q91V82
Defb9	Q8R2I6
Def6	Q8C2K1
Def8	Q99J78
Pdf	S4R2K0
Degs1	O09005
Degs2	Q8R2F2
Dek	Q7TNV0
Dele1	Q9DCV6
Dmtn	Q9WV69
Dennd10	Q9D8N2
Dennd11	Q3UHG7
Dennd1a	Q8K382
Dennd1b	Q3U1T9
Dennd1c	Q8CFK6
Dennd2a	Q8C4S8
Dennd2b	Q924W7
Dennd2c	Q6P9P8
Dennd2d	Q91VV4
Dennd4b	Q3U1Y4
Dennd4c	A6H8H2
Dennd5a	Q6PAL8
Dennd5b	A2RSQ0
Dennd6a	Q8BH65
Dennd6b	Q9D9V7
Dennd3	A2RT67
Ddn	Q80TS7
Denr	Q9CQJ6
Dera	Q91YP3
Depdc1a	Q8CIG0
Depdc1b	Q8BH88
Depdc5	P61460
Depdc7	Q91WS7
Depp1	Q8K2F3
Derl1	Q99J56
Derl2	Q8BNI4
Derl3	Q9D8K3
Dpt	Q9QZZ6
Derpc	P0CG14
Desi1	Q9CQT7
Desi2	Q9D291
Des	P31001
Fbxw7-as1	Q2QKR2
Dsp	E9Q557
Dstn	Q9R0P5
Det1	Q9D0A0
Deup1	Q7M6Y5
Dexi	Q9WUQ7
Defa10	P50708
Defa11	P50709
Defa13	P50711
Defa14	P50712
Defa15	P50713
Defa16	P50714
Defa17	Q64016
Defa20	Q45VN2
Defa21	Q8C1P2
Defa22	Q8C1N8
Defa23	Q5G866
Defa24	Q5G865
Defa25	Q5G864
Defa26	Q3L180
Defa29	P17533
Defa31	P50715
Defa-rs2	P17534
Defb10	Q8R2I8
Defb11	Q8R2I7
Defb12	Q8K4N3
Defb13	Q8R2I4
Defb14	Q7TNV9
Defb15	Q8R2I5
Defb18	Q30KP5
Defb19	Q8K3I8
Defb20	Q30KP3
Defb22	Q8BVC1
Defb25	Q30KN8
Defb29	Q8BGW9
Defb30	Q30KN4
Defb33	Q30KN3
Defb34	Q7TNV8
Defb35	Q8R2I3
Defb36	Q8K3U4
Defb37	Q7TMD2
Defb38	Q7TNV7
Defb39	Q70KL3
Defb40	Q70KL2
Defb41	Q30KP6
Defb42	Q8BVB5
Defb43	Q30KM9
Defb50	Q6TU36
Dffa	O54786
Dffb	O54788
Dgat2l6	A2ADU8
Dgat1	Q9Z2A7
Dgat2	Q9DCV3
Dgcr6	O35347
Dgcr8	Q9EQM6
Dgka	O88673
Dgkb	Q6NS52
Dgkd	E9PUQ8
Dgke	Q9R1C6
Dgkg	Q91WG7
Dgkh	D3YXJ0
Dgki	D3YWQ0
Dgkq	Q6P5E8
Dgkz	Q80UP3
Dagla	Q6WQJ1
Daglb	Q91WC9
Dguok	Q9QX60
Hsd17b11	Q9EQ06
Hsd17b12	O70503
Hsd17b13	Q8VCR2
Hsd17b1	P51656
Hsd17b2	P51658
Hsd17b3	P70385
Hsd17b4	P51660
Akr1c6	P70694
Hsd17b7	O88736
Hsd17b8	P50171
Dhcr24	Q8VCH6
Dhcr7	O88455
Dhdds	Q99KU1
Dhdh	Q9DBB8
Glud1	P26443
Dhh	Q61488
Hsd11b1	P50172
Hsd11b2	P51661
Qdpr	Q8BVI4
Dhrs11	Q3U0B3
Dhrs13	Q5SS80
Dhrs1	Q99L04
Dhrs3	O88876
Dhrs4	Q99LB2
Bdh2	Q8JZV9
Dhrs7	Q9CXR1
Dhrs9	Q58NB6
Dhrsx	Q8VBZ0
Sdhd	Q9CXV1
Sord	Q64442
Dhtkd1	A2ATU0
Dhx15	O35286
Dhx29	Q6PGC1
Dhx30	Q99PU8
Dhx32	Q8BZS9
Dhx33	Q80VY9
Dhx34	Q9DBV3
Dhx36	Q8VHK9
Dhx40	Q6PE54
Dhx57	Q6P5D3
Dhx58	Q99J87
Dhx8	A2A4P0
Dhx9	O70133
Dhps	Q3TXU5
Dis3l	Q8C0S1
Dis3l2	Q8CI75
Ctbs	Q8R242
Diaph1	O08808
Diaph2	O70566
Diaph3	Q9Z207
Dicer1	Q8R418
Slc25a10	Q9QZD8
Dido1	Q8C9B9
Dipk1a	Q9D6I7
Dipk1b	Q99ML4
Dipk1c	Q8BQT2
Dipk2a	Q3USZ8
Dipk2b	Q8C3I9
Dimt1	Q9D0D4
Dip2a	Q8BWT5
Dip2b	Q3UH60
Diras1	Q91Z61
Diras2	Q5PR73
Slc49a4	Q8BFQ6
Disc1	Q811T9
Disp1	Q3TDN0
Disp2	Q8CIP5
Disp3	A3KFU9
Dixdc1	Q80Y83
Dnajb11	Q99KV1
Dnajb12	Q9QYI4
Dnajb13	Q80Y75
Dnajb14	Q149L6
Dnajc10	Q9DC23
Dnajc11	Q5U458
Dnajc12	Q9R022
Dnajc14	Q921R4
Dnajc15	Q78YY6
Dnajc16	Q80TN4
Dnajc17	Q91WT4
Dnajc18	Q9CZJ9
Dnajc21	E9Q8D0
Dnajc22	Q8CHS2
Dnajc24	Q91ZF0
Dnajc25	A2ALW5
Dnajc27	Q8CFP6
Dnajc28	Q8VCE1
Dnajc30	P59041
Dkc1	Q9ESX5
Dkk1	O54908
Dkk2	Q9QYZ8
Dkk3	Q9QUN9
Dkk4	Q8VEJ3
Dkkl1	Q9QZL9
Dld	O08749
Dlec1	Q8BLA1
Dlg1	Q811D0
Dlg2	Q91XM9
Dlg3	P70175
Dlg4	Q62108
Dlg5	E9Q9R9
Dlgap1	Q9D415
Dlgap2	Q8BJ42
Dlgap3	Q6PFD5
Dlgap4	B1AZP2
Dlgap5	Q8K4R9
Dlk1	Q09163
Dlk2	Q8K1E3
Dll1	Q61483
Dll3	O88516
Dll4	Q9JI71
Pdss2	Q33DR3
Dynlrb1	P62627
Dynlrb2	Q9DAJ5
Dlx1	Q64317
Dlx2	P40764
Dlx3	Q64205
Dlx4	P70436
Dlx5	P70396
Dlx6	P70397
Dmac1	Q9CQ00
Dmac2	Q9D7K5
Dmap1	Q9JI44
H2-DMa	P28078
Dmbt1	Q60997
Cdcp3	Q8BZE1
Dmbx1	Q91ZK4
H2-DMb1	P35737
Dmc1	Q61880
Dmd	P11531
Dmkn	Q6P253
Dmp1	O55188
Dmpk	P54265
Dmrt1	Q9QZ59
Dmrt2	Q8BG36
Dmrt3	Q80WT2
Dmrta1	Q8CFG4
Dmrtb1	A2A9I7
Dmrtc1	Q9D9R7
Dmrtc2	Q8CGW9
Dmrta2	A2A9A2
Dmtf1	Q8CE22
Dmwd	Q08274
Dmxl1	Q6PNC0
Dmxl2	Q8BPN8
Dna2	Q6ZQJ5
Dnai1	Q8C0M8
Dnai2	A2AC93
Dnai3	B2RY71
Dnai4	E9PYY5
Dnai7	Q6TDU8
Dnal1	Q05A62
Dnal4	Q9DCM4
Dnase1	P49183
Dnd1	Q6VY05
Dner	Q8JZM4
Dnhd1	D3Z2X2
Dnajc5b	Q9CQ94
Dnaja1	P63037
Dnaja2	Q9QYJ0
Dnaja3	Q99M87
Dnaja4	Q9JMC3
Dnajb1	Q9QYJ3
Dnajb2	Q9QYI5
Dnajb3	O35723
Dnajb4	Q9D832
Dnajb5	O89114
Dnajb6	O54946
Dnajb7	Q9QYI8
Dnajb8	Q9QYI7
Dnajb9	Q9QYI6
Dnajc1	Q61712
Dnajc2	P54103
Dnajc3	Q91YW3
Dnajc4	Q9D844
Dnajc5	P60904
Dnajc7	Q9QYI3
Dnajc8	Q6NZB0
Dnajc9	Q91WN1
Lig1	P37913
Lig3	P97386
Lig4	Q8BTF7
Dnlz	Q9D113
Dnm1l	Q8K1M6
Dnmt3a	O88508
Dnmt3b	O88509
Dnmt3c	P0DOY1
Dnmt3l	Q9CWR8
Dnmbp	Q6TXD4
Dnmt1	P13864
Dnpep	Q9Z2W0
Dnph1	Q80VJ3
Dnase2	P56542
Dnase2b	Q9QY48
Dnase1l1	Q9D7J6
Dnase1l2	Q9D1G0
Dnase1l3	O55070
Dock10	Q8BZN6
Dock11	A2AF47
Doc2a	Q7TNF0
Doc2b	P70169
Doc2g	Q9ESN1
Dock1	Q8BUR4
Dock2	Q8C3J5
Dock3	Q8CIQ7
Dock4	P59764
Dock5	B2RY04
Dock6	Q8VDR9
Dock7	Q8R1A4
Dock8	Q8C147
Dock9	Q8BIK4
Dohh	Q99LN9
Dok1	P97465
Dok2	O70469
Dok3	Q9QZK7
Dok4	Q99KE3
Dok5	Q91ZM9
Dok6	Q2MHE5
Dok7	Q18PE0
Dolk	Q8R2Y3
Donson	Q9QXP4
Dop1a	Q8BL99
Dop1b	Q3UHQ6
Ddt	O35215
Dbh	Q64237
Dolpp1	Q9JMF7
Duoxa1	Q8VE49
Duoxa2	Q9D311
Appl1	Q8K3H0
Appl2	Q8K3G9
Dppa5a	Q9CQS7
Dppa5b	P85965
Dpcd	Q8BPA8
Dpep1	P31428
Dpep2	Q8C255
Dpep3	Q9DA79
Dpf1	Q9QX66
Dpf3	P58269
Dph1	Q5NCQ5
Dph2	Q9CR25
Dph3	Q8K0W9
Dph5	Q9CWQ0
Dph6	Q9CQ28
Dph7	Q9CYU6
Dpm1	O70152
Dpm2	Q9Z324
Dpm3	Q9D1Q4
Pola2	P33611
Pold1	P52431
Pold2	O35654
Pold3	Q9EQ28
Pold4	Q9CWP8
Pole	Q9WVF7
Pole2	O54956
Pole3	Q9JKP7
Pole4	Q9CQ36
Polg	P54099
Polg2	Q9QZM2
Pola1	P33609
Polb	Q8K409
Poll	Q9QXE2
Polm	Q9JIW4
Poln	Q7TQ07
Polq	Q8CGS6
Dpp10	Q6NXK7
Dpp7	Q9ET22
Dpp3	Q99KK7
Dpp4	P28843
Dpp6	Q9Z218
Dpp8	Q80YA7
Dpp9	Q8BVG4
Dppa2	Q9CWH0
Dppa3	Q8QZY3
Dppa4	Q8CCG4
Pdss1	Q33DR2
Deptor	Q570Y9
Dpy30	Q99LT0
Dpyd	Q8CHR6
Crmp1	P97427
Dpysl2	O08553
Dpysl3	Q62188
Dpysl4	O35098
Dpysl5	Q9EQF6
Dpys	Q9EQF5
Dqx1	Q924H9
Sdr9c7	Q8K3P0
Dram1	Q9DC58
Dram2	Q9CR48
Draxin	Q6PAL1
Iqcd	Q9D3V1
Iqca1	Q9CUL5
Drc1	Q3USS3
Ccdc65	Q8VHI7
Drc3	Q9D5E4
Gas8	Q60779
Tcte1	A6H639
Drc7	Q6V3W6
Efcab2	Q9CQ46
Iqcg	Q80W32
Drd1	Q61616
Drd2	P61168
Drd3	P30728
Drd4	P51436
Drd5	Q8BLD9
Dbn1	Q9QXS6
Drg1	P32233
Drg2	Q9QXB9
Drgx	Q8BYH0
Drp2	Q05AA6
Dhrs7b	Q99J47
Dhrs7c	Q8CHS7
Dusp13a	Q6B8I0
Dusp13b	Q9QYJ7
Dsc1	P55849
Dsc2	P55292
Dsc3	P55850
Dscam	Q9ERC8
Dscaml1	Q4VA61
Ripply3	Q924S9
Dsel	Q0VBN2
Dse	Q8BLI4
Dsg1a	Q61495
Dsg1b	Q7TSF1
Dsg1c	Q7TSF0
Dsg2	O55111
Dsg3	O35902
Dsg4	Q7TMD7
Dsn1	Q9CYC5
Dspp	P97399
Adar	Q99MU3
Dtnbp1	Q91WZ8
Dtd1	Q9DD18
Dtd2	Q8BHA3
Dtl	Q3TLR7
Dtna	Q9D2N4
Dtnb	O70585
Dtwd1	Q9D8U7
Dtwd2	Q9D0U1
Dtx1	Q61010
Dtx2	Q8R3P2
Dtx3l	Q3UIR3
Dtx3	Q80V91
Dtx4	Q6PDK8
Dusp10	Q9ESS0
Dusp11	Q6NXK5
Dusp12	Q9D0T2
Dusp14	Q9JLY7
Dusp15	Q8R4V2
Dusp18	Q8VE01
Dusp19	Q8K4T5
Dus1l	Q8C2P3
Dusp1	P28563
Dusp21	Q9D9D8
Dusp22	Q99N11
Dusp23	Q6NT99
Dusp26	Q9D700
Dusp28	Q8BTR5
Dusp29	Q8BK84
Dus2	Q9D7B1
Dusp2	Q05922
Dus3l	Q91XI1
Dusp3	Q9D7X3
Dus4l	Q32M08
Dusp4	Q8BFV3
Dusp6	Q9DBB1
Dusp7	Q91Z46
Dusp8	O09112
Dstyk	Q6XUX1
Dut	Q9CQ43
Dvl1	P51141
Dvl2	Q60838
Dvl3	Q61062
Strit1	P0DN83
Ddx39a	Q8VDW0
Ddx39b	Q9Z1N5
Dxo	O70348
Dydc1	Q9D9T0
Dnah12	Q3V0Q1
Dnah17	Q69Z23
Dnah1	E9Q8T7
Dnah2	P0C6F1
Dnah3	Q8BW94
Dnah5	Q8VHE6
Dnah8	Q91XQ0
Dync1h1	Q9JHU4
Dync2h1	Q45VK7
Dynll1	P63168
Dynll2	Q9D0M5
Dynlt1	P51807
Dynlt2	P11985
Dynlt3	P56387
Dynlt4	Q8CDY7
Dynlt5	Q9D5I4
Dym	Q8CHY3
Dnm1	P39053
Dnm2	P39054
Dnm3	Q8BZ98
Dyrk1a	Q61214
Dyrk1b	Q9Z188
Dyrk2	Q5U4C9
Dyrk3	Q922Y0
Dyrk4	Q8BI55
Dhfr	P00375
Dysf	Q9ESD7
Dst	Q91ZU6
Dynlt2b	Q9CQ66
Dytn	A2CI98
Dzank1	Q8C008
Dzip1l	Q499E4
Dzip1	Q8BMD2
Dzip3	Q7TPV2
Eif2ak1	Q9Z2R9
Eif2ak2	Q03963
Eif2ak3	Q9Z2B5
Eif2ak4	Q9QZ05
E2f1	Q61501
E2f2	P56931
E2f3	O35261
E2f4	Q8R0K9
E2f5	Q61502
E2f6	O54917
E2f7	Q6S7F2
E2f8	Q58FA4
Epb41l1	Q9Z2H5
Epb41l2	O70318
Epb41l3	Q9WV92
Epb41l5	Q8BGS1
Epb41l4a	P52963
Epb41l4b	Q9JMC8
E4f1	Q8CCE9
Slc1a3	P56564
Slc1a2	P43006
Slc1a1	P51906
Slc1a6	O35544
Slc1a7	Q8JZR4
Eaf1	Q9D4C5
Eaf2	Q91ZD6
Meaf6	Q2VPQ9
Eapp	Q5BU09
Ebna1bp2	Q9D903
Ebpl	Q9D0P0
Ebp	P70245
Ecd	Q9CS74
Ece1	Q4PZA2
Ece2	B2RQR8
Ecel1	Q9JMI0
Ech1	O35459
Hadha	Q8BMS1
Hadhb	Q99JY0
Echdc1	Q9D9V3
Echdc2	Q3TLP5
Echdc3	Q9D7J9
Echs1	Q8BH95
Ehhadh	Q9DBM2
Eci1	P42125
Eci2	Q9WUR2
Eci3	Q78JN3
Ecm1	Q61508
Ecpas	Q6PDI5
Ecm2	Q5FW85
Ear1	P97426
Ear2	P97425
Ear3	O35290
Ecscr	Q3TZW0
Ecsit	Q9QZH6
Ect2	Q07139
Edaradd	Q8VHX2
Edar	Q9R187
Eda	O54693
Edc3	Q8K2D3
Edc4	Q3UJB9
Eddm13	E9Q7F5
Edem1	Q925U4
Edem2	Q8BJT9
Edem3	Q2HXL6
Edf1	Q9JMG1
Edil3	O35474
Edn1	P22387
Edn2	P22389
Edn3	P48299
Ednra	Q61614
Ednrb	P48302
Edrf1	Q6GQV7
Eea1	Q8BL66
Eed	Q921E6
Eeig1	Q78T81
Eeig2	Q8BQS4
Eepd1	Q3TGW2
Eef1a1	P10126
Eef1a2	P62631
Eef1b	O70251
Eef1d	P57776
Eef1g	Q9D8N0
Eef2kmt	Q3UZW7
Eef2k	O08796
Eef2	P58252
Efcab10	Q9D581
Efcab11	Q9D0E5
Efcab14	Q8BGQ6
Cracr2b	Q80ZJ8
Cracr2a	Q3UP38
Efcab3	Q80X60
Efcab5	A0JP43
Efcab6	Q6P1E8
Efcab7	Q8VDY4
Efcab8	Q8C9R9
Efcab9	Q9DAM2
Efcc1	Q9JJF6
Eef1akmt4-Ece2	P0DPD9
Gfm1	Q8K0D5
Efhb	Q8CDU5
Efhc1	Q9D9T8
Efhc2	Q9D485
Efhd1	Q9D4J1
Efhd2	Q9D8Y0
Efl1	Q8C0D5
Eef1akmt1	Q9CY45
Eef1akmt2	Q9D853
Eef1akmt3	D3YWP0
Eef1akmt4	P0DPE0
Efna1	P52793
Efna2	P52801
Efna3	O08545
Efna4	O08542
Efna5	O08543
Efnb1	P52795
Efnb2	P52800
Efnb3	O35393
Mettl13	Q91YR5
Efr3a	Q8BG67
Efr3b	Q6ZQ18
Efs	Q64355
Tsfm	Q9CZR8
Tufm	Q8BFR5
Egfbp2	P36368
Egfem1	Q8C088
Egfl6	Q9JJZ5
Egfl7	Q9QXT5
Egfl8	Q6GUQ1
Egflam	Q4VBE4
Egfr	Q01279
Egf	P01132
Egln1	Q91YE3
Egln2	Q91YE2
Egln3	Q91UZ4
Eng	Q63961
Egr1	P08046
Egr2	P08152
Egr3	P43300
Egr4	Q9WUF2
Ehbp1l1	Q99MS7
Ehbp1	Q69ZW3
Ehd1	Q9WVK4
Ehd2	Q8BH64
Ehd3	Q9QXY6
Ehd4	Q9EQP2
Ehf	O70273
Ehmt1	Q5DW34
Ehmt2	Q9Z148
Ei24	Q61070
Eif2b1	Q99LC8
Eif2b2	Q99LD9
Eif2b4	Q61749
Eif2b5	Q8CHW4
Eif3j1	Q3UGC7
Eif3j2	Q66JS6
Eid1	Q9DCR4
Eid2	Q6X7S9
Eid3	Q3V124
Eif1ad	Q3THJ3
Eif1b	Q9CXU9
Eif1	P48024
Eif2a	Q8BJW6
Eif2d	Q61211
Eif3a	P23116
Eif3b	Q8JZQ9
Eif3c	Q8R1B4
Eif3d	O70194
Eif3e	P60229
Eif3f	Q9DCH4
Eif3g	Q9Z1D1
Eif3h	Q91WK2
Eif3i	Q9QZD9
Eif3k	Q9DBZ5
Eif3l	Q8QZY1
Eif3m	Q99JX4
Eipr1	Q8K0G5
Etnk1	Q9D4V0
Etnk2	A7MCT6
Elapor1	A2AFS3
Elapor2	Q3UZV7
Elavl1	P70372
Elavl2	Q60899
Elavl3	Q60900
Elavl4	Q61701
Apela	P0DMC4
Elf1	Q60775
Elf2	Q9JHC9
Elf3	Q3UPW2
Elf4	Q9Z2U4
Elf5	Q8VDK3
Elfn1	Q8C8T7
Elk1	P41969
Elk3	P41971
Elk4	P41158
Ell2	Q3UKU1
Ell3	Q80VR2
Ell	O08856
Elmod1	Q3V1U8
Elmod2	Q8BGF6
Elmod3	Q91YP6
Elmo1	Q8BPU7
Elmo2	Q8BHL5
Elmo3	Q8BYZ7
Elane	Q3UP87
Eln	P54320
Eloa	Q8CB77
Elob	P62869
Eloc	P83940
Elof1	P60003
Elovl1	Q9JLJ5
Elovl2	Q9JLJ4
Elovl3	O35949
Elovl4	Q9EQC4
Elovl5	Q8BHI7
Elovl6	Q920L5
Elovl7	Q9D2Y9
Elp1	Q7TT37
Elp2	Q91WG4
Elp3	Q9CZX0
Elp4	Q9ER73
Elp5	Q99L85
Elp6	Q8BK75
Ahctf1	Q8CJF7
Mpp1	P70290
Eml1	Q05BC3
Eml2	Q7TNG5
Eml3	Q8VC03
Eml4	Q3UMY5
Eml5	Q8BQM8
Eml6	Q5SQM0
Emb	P21995
Emc10	Q3TAS6
Emc1	Q8C7X2
Emc2	Q9CRD2
Emc3	Q99KI3
Emc4	Q9CZX9
Mmgt1	Q8K273
Emc6	Q9CQW0
Emc7	Q9EP72
Emc8	O70378
Emc9	Q9DB76
Emd	O08579
Eme1	Q8BJW7
Eme2	Q56A04
Emid1	Q91VF5
Emilin1	Q99K41
Emilin2	Q8K482
Emilin3	P59900
Emp1	P47801
Emp2	O88662
Emp3	O35912
Smdt1	Q9DB10
Emsy	Q8BMB0
Emx1	Q04742
Emx2	Q04744
Enah	Q03173
Enam	O55196
Engase	Q8BX80
Enc1	O35709
Endod1	Q8C522
Endou	Q3V188
Endov	Q8C9A2
Enho	Q8K1D8
Enkd1	Q7TSV9
Enkur	Q6SP97
Eno4	Q8C042
Eno1	P17182
Eno3	P21550
Eno2	P17183
Enoph1	Q8BGB7
Enox1	Q8BHR2
Enox2	Q8R0Z2
Hsp90b1	P08113
Enpp1	P06802
Enpp2	Q9R1E6
Enpp3	Q6DYE8
Enpp4	Q8BTJ4
Enpp5	Q9EQG7
Enpp6	Q8BGN3
Enpp7	Q3TIW9
Ensa	P60840
Tmprss15	P97435
Entpd1	P55772
Entpd2	O55026
Entpd3	Q8BFW6
Entpd4	Q9DBT4
Entpd5	Q9WUZ9
Entpd6	Q3U0P5
Entpd7	Q3TCT4
Entpd8	Q8K0L2
Entr1	A2AIW0
Fv4	P11370
Eny2	Q9JIX0
Eogt	Q8BYW9
Eola1	Q9D1F3
Eomes	O54839
Eps15l1	Q60902
Ep300	B2RWS6
Ep400	Q8CHI8
Pabpn1l	Q5XFR0
Epas1	P97481
Epb41	P48193
Epb42	P49222
Epc1	Q8C9X6
Epc2	Q8C0I4
Epcam	Q99JW5
Procr	Q64695
Epdr1	Q99M71
Epg5	Q80TA9
Epgn	Q924X1
Epha1	Q60750
Epha2	Q03145
Epha3	P29319
Epha4	Q03137
Epha5	Q60629
Epha6	Q62413
Epha7	Q61772
Epha8	O09127
Epha10	Q8BYG9
Ephb1	Q8CBF3
Ephb2	P54763
Ephb3	P54754
Ephb4	P54761
Ephb6	O08644
Ephx3	Q3V1F8
Ephx4	Q6IE26
Eppk1	Q8R0W0
Epm2a	Q9WUA5
Epm2aip1	Q8VEH5
Epn1	Q80VP1
Epn2	Q8CHU3
Epn3	Q91W69
Clint1	Q99KN9
Epop	Q7TNS8
Epor	P14753
Epo	P07321
Eppin	Q9DA01
Eps15	P42567
Eps8	Q08509
Selenoi	Q80TA1
Epyc	P70186
Eqtn	Q9D9V2
Ercc6l2	Q9JIM3
Eral1	Q9CZU4
Erap1	Q9EQH2
Erbb2	P70424
Erbb3	Q61526
Erbb4	Q61527
Erbin	Q80TH2
Erc2	Q6PH08
Ercc6l	Q8BHK9
Ercc1	P07903
Ercc2	O08811
Ercc3	P49135
Ercc5	P35689
Ercc6	F8VPZ5
Ercc8	Q8CFD5
Kdelr1	Q99JH8
Kdelr2	Q9CQM2
Kdelr3	Q8R1L4
Ereg	Q61521
Entrep1	Q4FZH1
Entrep2	Q6A044
Entrep3	Q5HZJ5
Etf1	Q8BWY3
Gspt1	Q8R050
Gspt2	Q149F3
Erfe	Q6PGN1
Erf	P70459
Sqle	P52019
Tm7sf2	Q71KT5
Erg28	Q9ERY9
Ergic1	Q9DC16
Ergic2	Q9CR89
Ergic3	Q9CQE7
Erg	P81270
Erh	P84089
Eri1	Q7TMF2
Eri2	Q5BKS4
Eri3	Q8C460
Erich3	F6QRE9
Erich4	Q3UNU4
Erich5	Q8K0S2
Erich6	D3Z6S9
Erlec1	Q8VEH8
Erlin1	Q91X78
Erlin2	Q8BFZ9
Ermap	Q9JLN5
Ermn	Q5EBJ4
Ermp1	Q3UVK0
Ern1	Q9EQY0
Ern2	Q9Z2E3
Ero1a	Q8R180
Ero1b	Q8R2E9
Erp27	Q9D8U3
Erp29	P57759
Erp44	Q9D1Q6
Esrra	O08580
Esrrb	Q61539
Esrrg	P62509
Errfi1	Q99JZ7
Eps8l1	Q8R5F8
Eps8l2	Q99K30
Eps8l3	Q91WL0
Esam	Q925F2
Esco1	Q69Z69
Esco2	Q8CIB9
Esf1	Q3V1V3
Epsti1	Q8VDI1
Esm1	Q9QYY7
Esp1	Q3LHH8
Esp22	A8R0V4
Espl1	P60330
Espnl	Q3UYR4
Espn	Q9ET47
Esr1	P19785
Esr2	O08537
Esrp1	Q3US41
Esrp2	Q8K0G8
Ess2	O70279
Smg6	P61406
Ces1c	P23953
Ces1d	Q8VCT4
Ces1e	Q64176
Ces1f	Q91WU0
Ces1	Q8VCC2
Ces2a	Q8QZR3
Ces2c	Q91WG0
Ces2e	Q8BK48
Ces3a	Q63880
Ces3b	Q8VCU1
Ces4a	Q8R0W5
Ces5a	Q6AW46
Esd	Q9R0P3
Esyt1	Q3U7R1
Esyt2	Q3TZZ7
Esyt3	Q5DTI8
Etaa1	Q5SVT3
Etd	Q80SW5
Etfa	Q99LC5
Etfb	Q9DCW4
Etfdh	Q921G7
Etfrf1	Q91V16
Ethe1	Q9DCM0
Mettl20	Q80ZM3
Ets1	P27577
Ets2	P15037
Etv1	P41164
Etv2	P41163
Etv3	Q8R4Z4
Etv4	P28322
Etv5	Q9CXC9
Etv6	P97360
Eurl	Q9D7G4
Eva1a	Q91WM6
Eva1b	Q8K2Y3
Eva1c	P58659
Evc	P57680
Evi2a	P20934
Evi2b	Q8VD58
Evi5	P97366
Evl	P70429
Evpl	Q9D952
Evx1	P23683
Evx2	P49749
Ewsr1	Q61545
Exoc3l1	Q8BI71
Exoc3l4	Q6DIA2
Exoc1l	B9EK06
Exoc6b	A6H5Z3
Exd1	Q8CDF7
Exd2	Q8VEG4
Exo1	Q9QZ11
Exo5	Q9CXP9
Exoc1	Q8R3S6
Exoc2	Q9D4H1
Exoc3	Q6KAR6
Exoc4	O35382
Exoc5	Q3TPX4
Exoc6	Q8R313
Exoc7	O35250
Exoc8	Q6PGF7
Exog	Q8C163
Exosc1	Q9DAA6
Exosc2	Q8VBV3
Exosc3	Q7TQK4
Exosc4	Q921I9
Exosc5	Q9CRA8
Exosc6	Q8BTW3
Exosc7	Q9D0M0
Exosc8	Q9D753
Exosc9	Q9JHI7
Exosc10	P56960
Exph5	Q0VAV2
Ext1	P97464
Ext2	P70428
Extl1	Q9JKV7
Extl2	Q9ES89
Extl3	Q9WVL6
Eya1	P97767
Eya2	O08575
Eya3	P97480
Eya4	Q9Z191
Ezh1	P70351
Ezh2	Q61188
Ezhip	B1B0V2
Ezr	P26040
Fam107a	Q78TU8
Fam107b	Q3TGF2
St13	Q99L47
Fra10ac1	Q8BP78
Fam110a	Q8R184
Fam110b	Q8C739
Fam110c	Q8VE94
Fam110d	Q80X91
Fam111a	Q9D2L9
Fam114a2	Q8VE88
Fam117a	Q7TNF9
Fam117b	Q3U3E2
Fam118a	Q91YN1
Fam118b	Q8C569
FAM120A	Q6A0A9
Fam120b	Q6RI63
Fam120c	Q8C3F2
Fam124b	Q8BLQ0
Fam131a	Q8BWU3
Fam131b	Q3TY60
Fam133b	Q9CVI2
Fam135a	Q6NS59
Fam135b	Q9DAI6
Fam136a	Q9CR98
F13a1	Q8BH61
F13b	Q07968
Fam149a	Q8CFV2
Fam149b1	Q6NSV7
Fam151a	Q8QZW3
Fam161a	Q8QZV6
Fam161b	Q8CB59
Fam162a	Q9D6U8
Fam162b	Q9CX19
Fam163a	Q8CAA5
Fam163b	Q8BUM6
Fam167a	Q6P1G6
Fam167b	P17257
Fam168a	Q8BGZ2
Fam168b	Q80XQ8
Fam169a	Q5XG69
Fam169b	Q8CHT6
Fbp1	Q9QXD6
Fbp2	P70695
Fam170a	Q66LM6
Fam170b	E9PXT9
Fam171a2	A2A699
Fam171b	Q14CH0
Fam172a	Q3TNH5
Fam174a	Q9D3L0
Fam174b	Q8K064
Fam174c	Q9DAZ5
Fam177a1	Q8BR63
Fam178b	Q24JP3
Fam180a	Q8BR21
Fam181b	Q80VF6
Fam183b	Q5NC57
Fam184b	Q0KK56
Fam185a	Q7TPD2
FAM186A	Q9D9R9
Fam187a	Q9D3R5
Fam187b	Q0VAY3
Fam193a	Q8CGI1
Fam193b	Q3U2K0
Fam199x	Q8K2D0
Fam204a	Q8C6C7
Fam210a	Q8BGY7
Fam210b	Q9D8B6
Fam216a	Q9DB54
Fam216b	Q8CC14
Fam217a	Q9D9W6
