GeneID	Bulk RNA-seq IU_2.5preg_n1	Bulk RNA-seq IU_2.5preg_n2	Bulk RNA-seq IU_2.5preg_n3	Bulk RNA-seq IA_2.5preg_n1	Bulk RNA-seq IA_2.5preg_n2	Bulk RNA-seq IA_2.5preg_n3
Xkr4	62	112	44	21	37	39
Gm19938	0	1	5	3	0	0
Gm10568	0	0	0	0	0	0
Rp1	169	199	233	2941	4458	4958
Sox17	29730	35546	32532	5837	8576	7943
Mrpl15	1056	1406	1096	1120	1532	1659
Lypla1	2046	2743	2026	1890	2663	2950
Gm19860	12	9	6	5	24	3
Tcea1	2985	3624	2736	3434	4650	4903
Rgs20	56	52	85	684	897	951
Atp6v1h	3315	3916	3343	3854	5413	5801
Oprk1	0	0	0	11	8	8
Npbwr1	118	100	88	325	509	509
Rb1cc1	3226	4520	3187	4542	6464	7022
Alkal1	0	0	0	0	0	0
St18	9	2	0	0	2	4
Pcmtd1	5970	8542	6012	5624	7956	8053
Sntg1	14	23	25	98	149	174
Rrs1	1498	2137	1580	1314	2311	2454
Adhfe1	1008	1555	853	1830	2335	2256
2610203C22Rik	42	52	40	61	51	37
Vxn	715	763	751	891	1318	1411
Mybl1	66	122	110	115	144	151
Vcpip1	2161	3137	1975	2249	3201	3369
1700034P13Rik	10	6	0	4	4	5
Sgk3	3812	3850	3591	869	1246	1342
NA	9	18	10	14	21	19
Mcmdc2	13	17	31	23	22	25
Snhg6	450	454	422	263	313	321
Snord87	8	8	7	1	3	4
NA	56	92	85	104	186	189
Tcf24	17	15	14	32	60	44
Ppp1r42	69	38	99	803	984	1022
Cops5	2298	2863	2289	3756	4935	5441
Cspp1	1500	1898	1449	6158	7452	7211
Arfgef1	9620	11857	9245	16969	25242	27039
Cpa6	2	5	0	1	7	4
Prex2	482	938	376	109	173	132
A830018L16Rik	163	144	194	2066	2633	3310
Gm17644	0	0	0	0	0	0
Sulf1	2835	3680	2275	2731	4354	4916
Slco5a1	431	551	419	214	256	231
Prdm14	0	0	0	6	2	0
Ncoa2	6354	9039	6352	6971	10596	10927
Tram1	10066	12071	9945	10088	13725	15386
Lactb2	859	1078	796	1417	1939	2006
Xkr9	0	2	0	3	2	4
Gm5523	1	2	2	1	1	1
Eya1	10	4	2	12	4	9
Msc	107	217	79	6	14	18
Trpa1	0	0	0	0	0	0
Kcnb2	278	329	220	68	98	104
Terf1	809	965	676	1067	1489	1322
Sbspon	6023	6026	4700	425	629	498
Gm7634	1	3	0	0	2	3
4930444P10Rik	42	59	45	386	468	541
Rpl7	49595	58813	47213	35673	46493	48583
Rdh10	6054	7337	5533	2377	3133	3088
Stau2	1659	2078	1586	984	1528	1433
Ube2w	2339	2997	2130	1930	2673	2865
Eloc	1509	1872	1544	1422	1929	2203
D030040B21Rik	0	4	3	21	19	30
Tmem70	2031	2743	2175	1322	1713	2005
Ly96	215	296	236	163	239	222
Jph1	99	227	130	73	159	130
Gdap1	19	29	24	94	169	185
Pi15	1595	4667	2057	99	262	198
Crispld1	769	1577	645	251	419	401
Crisp4	0	0	0	0	0	0
Defb44-ps	0	2	0	1	0	1
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
NA	0	0	0	0	0	0
Tfap2d	2	0	0	0	0	0
Tfap2b	0	2	0	0	0	0
Pkhd1	252	234	283	15	38	41
4930486I03Rik	2	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	0	0	0	0	0	0
Il17f	0	0	0	0	2	0
Mcm3	363	721	464	342	428	385
6720483E21Rik	32	46	31	69	96	103
Paqr8	2152	3400	2366	3597	5826	6999
Efhc1	1212	1653	1470	11026	15346	16278
Tram2	180	321	125	193	206	170
Tmem14a	438	620	448	421	554	525
Gsta3	1577	1671	1183	714	960	759
Gm4956	17	33	18	4	4	4
Khdc1a	2	13	10	6	5	1
Khdc1c	0	0	0	1	0	0
Khdc1b	0	0	2	3	0	0
Kcnq5	71	131	74	210	331	327
Rims1	80	442	123	4	6	14
Ppp1r14bl	0	0	0	0	0	0
Mir30a	1	0	0	0	0	0
Mir30c-2	2	0	3	1	3	0
Ogfrl1	736	1124	699	935	1236	1374
Gm19673	0	0	0	0	0	0
B3gat2	116	141	131	77	94	76
Smap1	1679	2304	1677	1348	2060	2234
Sdhaf4	1006	1065	890	1024	1295	1449
Fam135a	1992	2609	1943	2593	3731	3680
Col9a1	0	2	4	0	2	1
Col19a1	6	5	10	3	0	3
Lmbrd1	3117	4682	3403	6825	9042	9869
Adgrb3	0	3	0	4	9	0
Gm20172	1	0	0	0	0	0
4931408C20Rik	0	0	0	0	2	6
Gm5524	0	0	1	1	0	0
Gm7846	42	51	63	44	58	62
Gm597	0	0	0	0	0	0
Gm6462	0	0	0	0	0	0
Gm9898	2	0	0	0	0	0
Phf3	6179	8768	6270	7908	11051	11940
Ptp4a1	3410	3732	3161	1755	2371	2608
4931428L18Rik	3	6	2	0	0	0
Lgsn	0	1	0	2	6	0
Dnaaf6	0	0	0	1	0	1
Gm4850	0	0	0	0	0	0
Gm6489	0	0	0	0	0	0
Khdrbs2	0	0	0	0	0	0
Gm9839	0	0	0	0	0	0
Semp2l1	0	0	1	1	0	0
Prim2	327	484	348	777	888	1051
1700001G17Rik	9	46	26	89	92	165
Rab23	1577	2400	1663	6872	9382	10285
Bag2	1083	1814	1153	3650	4856	5417
Zfp451	1249	1659	1158	1457	1804	1821
Gm15455	7	9	2	7	7	8
Bend6	22	43	9	2	7	6
Dst	33597	46593	33216	30337	41798	44099
Mir5103	3	10	6	11	9	8
Ccdc115	1160	1274	1117	1064	1386	1492
Imp4	1310	1685	1319	1262	1731	1974
D1Ertd448e	610	810	594	799	1085	1090
Ptpn18	1423	1681	1359	406	471	516
Prss39	0	0	2	0	0	0
Cfc1	20	11	13	134	158	174
Prss40	0	3	0	6	7	0
Amer3	20	17	14	45	105	114
AA619741	6	4	4	8	20	3
Arhgef4	1888	2151	1912	2751	3866	4136
Fam168b	9723	15009	9320	10216	14963	16165
Plekhb2	11452	14136	10505	7272	10486	11530
Hs6st1	8853	10580	8495	9818	14315	15644
Uggt1	7901	10044	7207	8240	10615	13192
Neurl3	874	1456	845	898	1159	1211
Arid5a	893	1807	911	796	1133	1466
Kansl3	4950	7410	4961	6648	9038	9723
Lman2l	3304	3986	3271	3920	5432	5961
Cnnm4	1899	2403	1780	2531	3720	3882
Cnnm3	2157	2908	1992	2972	3876	4047
Ankrd23	379	562	393	407	448	363
Ankrd39	417	678	465	431	462	522
Sema4c	2377	3803	2717	1101	1367	1637
Fam178b	31	67	51	40	33	25
Cox5b	3479	4544	3818	3287	4465	4833
Actr1b	3361	5067	3557	3766	5307	6069
4933424G06Rik	1	1	2	3	9	9
Zap70	67	136	86	621	948	845
Tmem131	8739	11899	8351	10140	14629	15608
Vwa3b	716	929	694	5416	7818	8031
Cnga3	1	2	6	4	8	2
Inpp4a	1508	2986	1672	2102	2799	3011
Coa5	3772	5518	3636	3287	4707	4617
Unc50	2217	2460	2251	2034	2731	2927
Mgat4a	1935	3123	1901	687	941	885
4930594C11Rik	4	3	3	0	5	5
NA	0	0	0	1	0	0
Cracdl	4215	5064	4286	12607	16075	19956
Gm19863	3	6	8	47	39	8
Tsga10	1127	1234	1210	4605	6503	6971
Lipt1	269	328	291	408	612	499
Mitd1	671	906	709	601	873	907
Mrpl30	1789	2125	1703	1761	2321	2471
Lyg2	31	5	28	271	308	341
Lyg1	0	0	0	0	0	0
Txndc9	2531	3089	2528	2963	3688	4104
Eif5b	4679	6456	4328	4472	6306	6052
Rev1	787	1090	786	605	841	998
Aff3	1090	1861	1176	9021	12197	14133
Lonrf2	507	1060	410	53	93	77
Chst10	12018	11855	12239	199	282	399
NA	11	21	9	2	2	1
Nms	20	3	12	0	0	0
Pdcl3	1823	2983	2184	1527	2147	2317
Npas2	2049	3371	2341	1641	2755	3239
Rpl31	16353	19008	15803	12393	14707	16198
Tbc1d8	1554	2594	1608	1654	2427	2571
Cnot11	1665	2541	1824	2187	2950	3407
Snord89	9	29	28	16	12	27
Rnf149	4770	5347	4689	4036	5484	5941
