GeneID	Bulk RNA-seq IU_Finnerty_Estrus_n1	Bulk RNA-seq IU_Finnerty_Estrus_n2	Bulk RNA-seq IU_Finnerty_Estrus_n3	Bulk RNA-seq IA_Finnerty_Estrus_n1	Bulk RNA-seq IA_Finnerty_Estrus_n2	Bulk RNA-seq IA_Finnerty_Estrus_n3
Xkr4	90	63	84	19	81	31
Gm19938	0	0	0	0	0	1
Gm10568	0	0	0	0	0	0
Rp1	93	74	268	1409	2122	2579
Sox17	8374	10716	23667	4403	4081	5206
Mrpl15	1024	992	1496	933	1024	1120
Lypla1	1868	1477		1616	1952	1684
Gm19860	4	6	8	0	9	2
Tcea1	2133	2148	3706	2292	2817	2704
Rgs20	26	34	69	418	462	712
Atp6v1h	2589	2248	3502	2525	3158	3190
Oprk1	0	0	2	6	2	0
Npbwr1	17	32	96	207	124	355
Rb1cc1	2295	2722	3793	2494	3256	4060
Alkal1	0	0	0	0	0	2
St18	8	0	4	0	2	0
Pcmtd1	6403	5579	8215	3909	8061	5765
Sntg1	12	4	20	25	31	81
Rrs1	1631	1158	2372	1096	1845	1378
Adhfe1	558	633	1345	589	820	1666
2610203C22Rik	37	34	77	22	35	29
Vxn	989	896	847	1242	2367	912
Mybl1	117	77	97	54	115	91
Vcpip1	1789	1743	2403	1310	1921	1638
1700034P13Rik	10	9	6	4	6	2
Sgk3	2114	2204	3062	1230	1499	909
NA	4	13	12	8	10	26
Mcmdc2	21	9	48	2	18	20
Snhg6	423	436	571	252	290	283
Snord87	3	1	5	2	4	0
NA	61	85	86	168	288	163
Tcf24	18	28	48	40	115	44
Ppp1r42	50	23	53	493	451	793
Cops5	1972	1634	2797	2403	2986	3415
Cspp1	1218	1113	2028	3029	3452	4448
Arfgef1	8698	8558	11740	8687	11276	13945
Cpa6	7	2	0	0	4	2
Prex2	352	606	825	206	322	215
A830018L16Rik	83	77	128	973	1087	1592
Gm17644	0	0	0	0	0	0
Sulf1	1399	2685	3743	1856	1054	2553
Slco5a1	664	369	626	273	534	160
Prdm14	0	2	2	0	2	0
Ncoa2	3648	4512	7369	4545	5420	6177
Tram1	6690	7488	8720	8484	9456	9110
Lactb2	597	569	854	1259	1307	1423
Xkr9	2	0	0	4	0	6
Gm5523	4	7	9	3	0	0
Eya1	6	4	8	8	0	10
Msc	10	134	131	30	4	32
Trpa1	0	2	1	0	0	0
