GeneID	Bulk RNA-seq IU_1.5preg_n1	Bulk RNA-seq IU_1.5preg_n2	Bulk RNA-seq IU_1.5preg_n3	Bulk RNA-seq IA_1.5preg_n1	Bulk RNA-seq IA_1.5preg_n2	Bulk RNA-seq IA_1.5preg_n3
Xkr4	115	84	94	76	36	40
Gm19938	7	0	0	6	2	6
Gm10568	0	0	0	0	0	0
Rp1	326	311	249	3595	2876	4390
Sox17	25481	32470	25103	6284	4656	5977
Mrpl15	1522	1240	1184	1114	878	1373
Lypla1	2924	2501	2097	2093	1508	2313
Gm19860	8	2	1	8	5	4
Tcea1	4090	3394	2958	3262	2612	3718
Rgs20	110	100	103	816	572	917
Atp6v1h	4039	3482	3343	3843	3027	4579
Oprk1	3	0	0	4	2	8
Npbwr1	122	120	105	461	448	391
Rb1cc1	4327	4014	3278	5686	4269	5960
Alkal1	4	0	0	0	0	0
St18	8	4	4	8	4	0
Pcmtd1	8664	7509	6295	7759	5266	7841
Sntg1	19	17	29	117	79	159
Rrs1	2241	2061	1812	1486	1356	1564
Adhfe1	1021	1184	1042	1714	1147	1886
2610203C22Rik	41	66	28	54	32	40
Vxn	794	626	648	1061	733	1148
Mybl1	155	87	98	150	101	120
Vcpip1	2950	2587	2136	2686	1844	2778
1700034P13Rik	8	2	5	4	6	6
Sgk3	3125	3311	2724	1223	759	1114
NA	5	14	7	17	12	16
Mcmdc2	33	12	15	22	20	18
Snhg6	410	370	386	325	192	275
Snord87	4	5	6	10	1	1
NA	154	111	84	239	164	198
Tcf24	32	41	28	66	40	26
Ppp1r42	86	56	62	676	609	1028
Cops5	2846	2576	2333	3307	2918	4221
Cspp1	1948	1728	1426	5928	4563	5716
Arfgef1	12732	10948	9840	19361	14042	22817
Cpa6	5	2	0	6	2	0
Prex2	925	710	456	688	147	213
A830018L16Rik	229	243	183	2180	1819	2339
Gm17644	1	0	0	2	0	0
Sulf1	5041	3498	3651	4264	3115	4038
Slco5a1	795	582	455	395	168	265
